SNOMED-CT,NUVA,SNOMED-CT label, NUVA label
SNOMED-CT-836495005,VAC0832,"Human alphaherpesvirus 3 antigen-containing vaccine product","Herpes Simplex vaccine, unspecified"
SNOMED-CT-836498007,VAC0153,"Mumps orthorubulavirus antigen-containing vaccine product","Mumps vaccine, unspecified"
SNOMED-CT-836500008,VAC0798,"Haemophilus influenzae type b and Neisseria meningitidis serogroup C antigens only vaccine product","Hib-MeningoC vaccine, unspecified"
SNOMED-CT-840549009,VAC0812,"Yersinia pestis antigen-containing vaccine product","Plague inactivated whole vaccine, unspecified"
SNOMED-CT-840551008,VAC0849,"Francisella tularensis antigen-containing vaccine product","Tularemia vaccine, unspecified"
SNOMED-CT-840563003,VAC0155,"Dengue virus antigen-containing vaccine product","Dengue vaccine, unspecified"
SNOMED-CT-840564009,VAC0148,"Leptospira antigen-containing vaccine product","Leptospirosis vaccine, unspecified"
SNOMED-CT-840599008,VAC1073,"Borrelia burgdorferi antigen-containing vaccine product","Lyme disease vaccine, unspecified"
SNOMED-CT-860722004,VAC1432,"Junin virus antigen-containing vaccine product","Argentine hemorrhagic fever vaccine, Junin virus, unspecified"
SNOMED-CT-860818003,VAC1075,"Bacillus anthracis antigen only vaccine product","Anthrax acellular vaccine, unspecified"
SNOMED-CT-863911006,VAC0132,"Clostridium tetani antigen-containing vaccine product","Tetanus vaccine, unspecified"
SNOMED-CT-863950005,#MISS,"Bacteria and virus antigens-containing vaccine product",
SNOMED-CT-865997008,VAC1247,"Hepatitis A virus antigen only adult vaccine product","Hepatitis A vaccine, unspecified"
SNOMED-CT-871716003,VAC0849,"Francisella tularensis antigen only vaccine product","Tularemia vaccine, unspecified"
SNOMED-CT-871717007,VAC0111,"Yellow fever virus antigen only vaccine product","Yellow fever vaccine, unspecified"
SNOMED-CT-871718002,VAC1433,"Yersinia pestis antigen only vaccine product","Plague vaccine, unspecified"
SNOMED-CT-871719005,VAC0145,"Tick-borne encephalitis virus antigen only vaccine product","Tick-borne encephalitis vaccine, unspecified"
SNOMED-CT-871720004,VAC0155,"Dengue virus antigen only vaccine product","Dengue vaccine, unspecified"
SNOMED-CT-871721000,VAC0831,"Ebolavirus antigen only vaccine product","Ebola vaccine, unspecified"
SNOMED-CT-871722007,VAC0894,"Adenovirus antigen only vaccine product","Adenovirus vaccine, unspecified"
SNOMED-CT-871723002,VAC0896,"Coxiella burnetii antigen only vaccine product","Q fever vaccine, unspecified"
SNOMED-CT-871724008,VAC0921,"Japanese encephalitis virus antigen only vaccine product","Japanese encephalitis vaccine, unspecified"
SNOMED-CT-871725009,VAC0819,"Inactivated whole Japanese encephalitis virus antigen only vaccine product","Japanese Encephalitis inactivated vaccine, unspecified"
